Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Delta_GPA,AI_Usage_Segment
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4.0,False,18.71,4.0,Strict_Ban,3.0,2.758,78.28,Low,0.12199999999999989,Light User (0-5 jam)
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1.0,False,15.78,2.0,Allowed_With_Citation,6.0,3.358,67.56,Low,-0.17099999999999982,Light User (0-5 jam)
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2.0,True,2.75,2.0,Allowed_With_Citation,3.0,3.749,68.81,Medium,0.19799999999999995,Moderate User (5-15 jam)
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1.0,True,10.61,1.0,Allowed_With_Citation,8.0,3.76,55.33,Low,0.1809999999999996,Light User (0-5 jam)
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1.0,False,8.24,8.0,Strict_Ban,7.0,2.588,63.38,Medium,0.2240000000000002,Heavy User (>15 jam)
100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4.0,True,11.33,2.0,Actively_Encouraged,2.0,4.0,81.85,High,0.6920000000000002,Light User (0-5 jam)
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5.0,True,14.29,6.0,Allowed_With_Citation,2.0,3.822,82.36,Medium,0.484,Heavy User (>15 jam)
100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2.0,True,6.54,5.0,Allowed_With_Citation,1.0,3.487,67.74,High,0.18500000000000005,Heavy User (>15 jam)
100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1.0,False,17.89,1.0,Actively_Encouraged,4.0,3.088,74.67,Low,-0.19399999999999995,Light User (0-5 jam)
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4.0,True,10.25,5.0,Allowed_With_Citation,4.0,4.0,61.29,Medium,0.3620000000000001,Moderate User (5-15 jam)
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4.0,True,16.16,2.0,Allowed_With_Citation,6.0,3.989,88.44,Low,0.258,Light User (0-5 jam)
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2.0,False,11.77,5.0,Allowed_With_Citation,5.0,1.342,56.81,Medium,-0.10699999999999998,Light User (0-5 jam)
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3.0,False,16.16,3.0,Allowed_With_Citation,5.0,3.276,74.03,Medium,0.41999999999999993,Light User (0-5 jam)
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5.0,False,9.89,2.0,Allowed_With_Citation,1.0,3.335,89.14,Medium,0.18699999999999983,Moderate User (5-15 jam)
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2.0,True,1.0,7.0,Allowed_With_Citation,3.0,3.207,67.2,High,0.08699999999999974,Heavy User (>15 jam)
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4.0,True,3.67,2.0,Strict_Ban,5.0,3.553,55.89,High,-0.07900000000000018,Light User (0-5 jam)
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3.0,False,7.46,1.0,Allowed_With_Citation,5.0,3.145,75.11,Low,-0.15799999999999992,Light User (0-5 jam)
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3.0,True,1.0,5.0,Allowed_With_Citation,4.0,3.636,96.68,Low,-0.0349999999999997,Heavy User (>15 jam)
100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4.0,True,13.34,1.0,Allowed_With_Citation,5.0,2.365,74.3,High,-0.03799999999999981,Light User (0-5 jam)
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3.0,False,10.81,2.0,Actively_Encouraged,2.0,3.452,92.44,Medium,0.3660000000000001,Light User (0-5 jam)
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3.0,True,8.95,5.0,Allowed_With_Citation,8.0,2.686,84.71,Medium,0.3759999999999999,Moderate User (5-15 jam)
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3.0,True,11.3,1.0,Allowed_With_Citation,5.0,3.812,72.05,Low,0.2729999999999997,Light User (0-5 jam)
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3.0,False,8.42,3.0,Allowed_With_Citation,4.0,3.909,68.22,Medium,0.13199999999999967,Moderate User (5-15 jam)
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3.0,False,8.21,4.0,Strict_Ban,4.0,3.277,79.79,Medium,0.2290000000000001,Light User (0-5 jam)
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3.0,False,9.36,4.0,Allowed_With_Citation,7.0,3.447,62.75,Low,0.43400000000000016,Moderate User (5-15 jam)
100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2.0,False,21.22,2.0,Strict_Ban,5.0,3.942,99.25,Low,0.43900000000000006,Moderate User (5-15 jam)
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1.0,False,11.84,4.0,Allowed_With_Citation,3.0,4.0,76.67,Medium,0.15799999999999992,Moderate User (5-15 jam)
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2.0,True,10.5,2.0,Actively_Encouraged,3.0,3.567,86.73,Medium,0.05600000000000005,Moderate User (5-15 jam)
100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3.0,False,5.97,1.0,Strict_Ban,3.0,2.884,87.51,High,0.23899999999999988,Moderate User (5-15 jam)
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2.0,True,20.87,5.0,Allowed_With_Citation,4.0,3.644,83.76,Medium,0.5289999999999999,Moderate User (5-15 jam)
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4.0,True,15.85,3.0,Strict_Ban,6.0,4.0,61.2,High,0.42300000000000004,Moderate User (5-15 jam)
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2.0,True,12.82,6.0,Actively_Encouraged,5.0,2.903,69.95,High,0.4700000000000002,Moderate User (5-15 jam)
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3.0,True,9.52,5.0,Allowed_With_Citation,6.0,3.155,59.46,Low,0.19699999999999962,Moderate User (5-15 jam)
100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4.0,True,12.87,4.0,Allowed_With_Citation,1.0,3.885,79.82,Medium,0.15299999999999958,Light User (0-5 jam)
100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1.0,False,15.1,2.0,Allowed_With_Citation,5.0,3.393,62.77,Medium,0.24499999999999966,Light User (0-5 jam)
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2.0,True,4.24,6.0,Actively_Encouraged,2.0,3.521,63.38,High,0.09200000000000008,Heavy User (>15 jam)
100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4.0,True,14.06,4.0,Strict_Ban,4.0,3.988,60.88,Medium,0.1509999999999998,Light User (0-5 jam)
100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3.0,True,17.42,4.0,Allowed_With_Citation,4.0,3.342,80.19,Medium,0.09299999999999997,Moderate User (5-15 jam)
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2.0,False,18.28,3.0,Allowed_With_Citation,4.0,3.394,83.39,Medium,0.379,Light User (0-5 jam)
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2.0,False,10.74,2.0,Strict_Ban,8.0,3.518,70.28,Medium,0.351,Moderate User (5-15 jam)
100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3.0,False,10.29,4.0,Strict_Ban,5.0,3.914,77.49,Low,0.21700000000000008,Moderate User (5-15 jam)
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3.0,False,8.94,1.0,Allowed_With_Citation,1.0,3.665,60.08,Medium,0.20199999999999996,Light User (0-5 jam)
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1.0,False,10.06,6.0,Strict_Ban,5.0,2.339,77.44,High,0.17499999999999982,Heavy User (>15 jam)
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4.0,False,13.18,2.0,Allowed_With_Citation,3.0,2.896,57.43,Low,0.125,Moderate User (5-15 jam)
100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1.0,False,17.15,2.0,Actively_Encouraged,4.0,3.922,75.58,Low,0.3530000000000002,Moderate User (5-15 jam)
100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3.0,True,14.09,3.0,Actively_Encouraged,5.0,3.416,80.16,Medium,0.3420000000000001,Light User (0-5 jam)
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4.0,True,15.32,3.0,Allowed_With_Citation,2.0,3.702,80.75,Medium,0.3729999999999998,Moderate User (5-15 jam)
100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2.0,False,17.55,2.0,Strict_Ban,3.0,3.758,60.58,Medium,0.15200000000000014,Light User (0-5 jam)
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3.0,True,6.48,4.0,Allowed_With_Citation,2.0,3.879,78.14,High,0.23399999999999999,Heavy User (>15 jam)
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1.0,True,7.64,5.0,Allowed_With_Citation,5.0,2.951,65.48,Low,0.11299999999999999,Moderate User (5-15 jam)
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1.0,True,13.19,6.0,Allowed_With_Citation,7.0,3.295,53.65,High,0.24799999999999978,Heavy User (>15 jam)
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2.0,False,9.7,8.0,Allowed_With_Citation,6.0,3.326,45.39,Medium,0.20900000000000007,Moderate User (5-15 jam)
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3.0,False,6.39,3.0,Actively_Encouraged,5.0,3.687,80.79,Low,0.43599999999999994,Moderate User (5-15 jam)
100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3.0,False,14.07,4.0,Allowed_With_Citation,3.0,2.962,63.96,Low,0.383,Moderate User (5-15 jam)
100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1.0,False,19.29,5.0,Allowed_With_Citation,3.0,3.389,58.03,Low,0.46999999999999975,Light User (0-5 jam)
100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2.0,False,13.8,2.0,Allowed_With_Citation,5.0,2.468,72.32,Medium,0.44499999999999984,Moderate User (5-15 jam)
100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3.0,False,6.21,1.0,Allowed_With_Citation,7.0,2.393,78.1,Low,-0.10100000000000042,Moderate User (5-15 jam)
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4.0,True,11.39,1.0,Allowed_With_Citation,2.0,3.969,85.55,Low,0.3380000000000001,Light User (0-5 jam)
100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2.0,False,16.3,1.0,Allowed_With_Citation,8.0,3.21,77.88,High,0.5510000000000002,Moderate User (5-15 jam)
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3.0,True,14.7,2.0,Allowed_With_Citation,1.0,3.293,76.51,Medium,0.43100000000000005,Moderate User (5-15 jam)
100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2.0,True,1.96,2.0,Allowed_With_Citation,1.0,3.195,69.29,Low,-0.07900000000000018,Light User (0-5 jam)
100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2.0,False,12.93,4.0,Strict_Ban,2.0,3.421,64.26,Low,0.08899999999999997,Moderate User (5-15 jam)
100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1.0,False,4.38,4.0,Actively_Encouraged,4.0,3.418,75.13,Medium,0.19700000000000006,Moderate User (5-15 jam)
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4.0,False,17.94,2.0,Allowed_With_Citation,2.0,3.691,73.6,Medium,0.2769999999999997,Light User (0-5 jam)
100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4.0,False,12.32,4.0,Actively_Encouraged,3.0,2.354,65.13,Low,0.22199999999999998,Moderate User (5-15 jam)
100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3.0,False,18.91,3.0,Strict_Ban,3.0,3.334,81.48,Medium,0.2280000000000002,Moderate User (5-15 jam)
100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5.0,True,2.81,2.0,Strict_Ban,5.0,3.216,93.82,High,0.18300000000000027,Moderate User (5-15 jam)
100088,Business,Senior,2.549,13.19,Ideation,Beginner,2.0,True,11.21,6.0,Allowed_With_Citation,5.0,2.855,59.64,Medium,0.30600000000000005,Moderate User (5-15 jam)
100090,Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,Beginner,2.0,False,8.67,6.0,Actively_Encouraged,1.0,3.795,68.8,High,0.2509999999999999,Heavy User (>15 jam)
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5.0,False,14.46,3.0,Actively_Encouraged,6.0,2.75,55.09,Medium,0.4590000000000001,Moderate User (5-15 jam)
100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5.0,True,8.39,3.0,Strict_Ban,2.0,3.139,65.99,High,0.5469999999999997,Moderate User (5-15 jam)
100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5.0,False,14.86,3.0,Allowed_With_Citation,1.0,2.887,68.77,Low,0.32600000000000007,Light User (0-5 jam)
100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2.0,True,9.91,7.0,Actively_Encouraged,8.0,3.17,74.32,Medium,0.3919999999999999,Moderate User (5-15 jam)
100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2.0,True,12.78,3.0,Allowed_With_Citation,4.0,3.378,76.16,Medium,0.2789999999999999,Heavy User (>15 jam)
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1.0,False,11.81,1.0,Allowed_With_Citation,3.0,3.873,59.56,High,0.10000000000000009,Moderate User (5-15 jam)
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2.0,False,8.4,2.0,Actively_Encouraged,5.0,2.993,71.8,Medium,0.08599999999999985,Light User (0-5 jam)
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2.0,False,9.14,2.0,Allowed_With_Citation,3.0,2.918,66.73,Medium,0.6260000000000003,Light User (0-5 jam)
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5.0,True,5.64,6.0,Allowed_With_Citation,4.0,2.473,55.74,Medium,0.45699999999999985,Heavy User (>15 jam)
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3.0,False,11.04,6.0,Allowed_With_Citation,2.0,2.754,98.76,High,0.09299999999999997,Moderate User (5-15 jam)
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3.0,True,10.46,7.0,Allowed_With_Citation,6.0,3.715,62.3,High,0.10299999999999976,Heavy User (>15 jam)
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3.0,True,13.27,6.0,Strict_Ban,4.0,1.942,55.12,Medium,-0.09599999999999986,Moderate User (5-15 jam)
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2.0,True,10.21,5.0,Allowed_With_Citation,2.0,4.0,56.37,Medium,0.21399999999999997,Light User (0-5 jam)
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2.0,False,13.78,2.0,Allowed_With_Citation,4.0,3.348,85.52,Low,0.14399999999999968,Light User (0-5 jam)
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2.0,True,13.43,2.0,Actively_Encouraged,2.0,2.307,63.93,Medium,0.23099999999999987,Moderate User (5-15 jam)
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3.0,True,8.86,3.0,Allowed_With_Citation,1.0,3.234,87.33,Medium,0.262,Moderate User (5-15 jam)
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3.0,True,9.82,2.0,Strict_Ban,1.0,2.869,84.71,Low,0.14100000000000001,Moderate User (5-15 jam)
100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1.0,False,11.66,2.0,Strict_Ban,4.0,2.468,72.83,Low,0.33499999999999996,Light User (0-5 jam)
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4.0,False,19.85,3.0,Allowed_With_Citation,1.0,3.321,94.36,Low,0.395,Light User (0-5 jam)
100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4.0,False,21.84,4.0,Allowed_With_Citation,2.0,3.09,96.15,Low,0.7109999999999999,Moderate User (5-15 jam)
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1.0,False,5.89,2.0,Strict_Ban,4.0,4.0,53.65,Low,0.1339999999999999,Moderate User (5-15 jam)
100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3.0,True,10.76,6.0,Allowed_With_Citation,6.0,3.257,82.36,Medium,0.05400000000000027,Moderate User (5-15 jam)
100113,Medical,Junior,3.501,9.86,Ideation,Intermediate,2.0,False,10.92,5.0,Allowed_With_Citation,3.0,3.839,85.42,Low,0.3380000000000001,Moderate User (5-15 jam)
100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1.0,True,8.7,4.0,Allowed_With_Citation,1.0,3.176,66.09,Low,0.025000000000000355,Light User (0-5 jam)
100115,Business,Sophomore,3.784,2.61,Ideation,Advanced,5.0,False,17.37,1.0,Allowed_With_Citation,3.0,4.0,83.06,Low,0.2160000000000002,Light User (0-5 jam)
100116,Medical,Sophomore,3.242,1.25,Ideation,Beginner,3.0,False,8.2,2.0,Allowed_With_Citation,3.0,3.705,78.83,Medium,0.4630000000000001,Light User (0-5 jam)
100117,Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3.0,True,13.36,3.0,Actively_Encouraged,4.0,3.213,61.45,Low,0.3679999999999999,Moderate User (5-15 jam)
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2.0,False,14.34,1.0,Strict_Ban,6.0,4.0,62.09,Low,0.08499999999999996,Light User (0-5 jam)
100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2.0,False,3.85,7.0,Allowed_With_Citation,5.0,2.602,62.97,Medium,-0.06800000000000006,Heavy User (>15 jam)
100120,Business,Freshman,2.074,0.9,Ideation,Advanced,5.0,True,14.29,1.0,Allowed_With_Citation,3.0,2.217,69.58,Low,0.14300000000000024,Light User (0-5 jam)
100121,Arts,Senior,1.845,3.58,Ideation,Intermediate,4.0,False,13.55,3.0,Allowed_With_Citation,2.0,2.293,63.51,Medium,0.4480000000000002,Light User (0-5 jam)
100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2.0,False,18.15,4.0,Actively_Encouraged,9.0,3.99,69.49,Low,0.3230000000000004,Light User (0-5 jam)
100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1.0,False,15.63,4.0,Allowed_With_Citation,4.0,4.0,88.85,Medium,0.31599999999999984,Heavy User (>15 jam)
100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3.0,True,6.88,5.0,Actively_Encouraged,6.0,4.0,93.35,Medium,0.14400000000000013,Light User (0-5 jam)
100125,STEM,Sophomore,3.446,40.0,Summarizing_Reading,Intermediate,4.0,False,7.47,10.0,Actively_Encouraged,2.0,3.441,76.67,High,-0.0050000000000003375,Heavy User (>15 jam)
100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2.0,False,7.85,7.0,Actively_Encouraged,8.0,3.137,86.56,Medium,0.051000000000000156,Heavy User (>15 jam)
100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2.0,False,11.48,4.0,Allowed_With_Citation,2.0,2.574,96.82,Low,0.11299999999999999,Moderate User (5-15 jam)
100128,Arts,Senior,3.887,23.63,Ideation,Beginner,2.0,True,17.8,7.0,Strict_Ban,9.0,4.0,76.58,Medium,0.11299999999999999,Heavy User (>15 jam)
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4.0,False,13.31,3.0,Allowed_With_Citation,3.0,3.456,63.1,Medium,0.3639999999999999,Light User (0-5 jam)
100130,Business,Junior,3.537,8.18,Ideation,Intermediate,2.0,False,14.57,2.0,Actively_Encouraged,1.0,3.576,96.33,Low,0.039000000000000146,Moderate User (5-15 jam)
100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2.0,False,11.94,1.0,Allowed_With_Citation,6.0,3.146,48.73,Low,0.008000000000000007,Light User (0-5 jam)
100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3.0,True,7.95,5.0,Allowed_With_Citation,4.0,4.0,84.53,Low,0.4950000000000001,Heavy User (>15 jam)
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3.0,False,13.35,5.0,Actively_Encouraged,5.0,3.897,73.28,Medium,0.1729999999999996,Moderate User (5-15 jam)
100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3.0,False,11.01,6.0,Allowed_With_Citation,1.0,3.717,67.16,High,0.30100000000000016,Heavy User (>15 jam)
100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2.0,False,10.01,3.0,Allowed_With_Citation,7.0,2.57,67.06,Low,0.1719999999999997,Moderate User (5-15 jam)
100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1.0,True,8.27,3.0,Actively_Encouraged,7.0,2.785,56.59,Medium,0.0990000000000002,Moderate User (5-15 jam)
100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3.0,True,12.68,8.0,Allowed_With_Citation,3.0,3.49,77.45,Medium,0.32600000000000007,Moderate User (5-15 jam)
100138,Business,Freshman,2.767,0.44,Ideation,Advanced,4.0,True,19.67,4.0,Strict_Ban,2.0,3.137,82.77,Medium,0.3700000000000001,Light User (0-5 jam)
100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1.0,True,5.38,1.0,Allowed_With_Citation,3.0,3.881,59.74,Medium,0.17499999999999982,Light User (0-5 jam)
100140,Medical,Graduate,3.393,1.9,Ideation,Beginner,2.0,False,9.32,3.0,Allowed_With_Citation,2.0,3.384,64.37,Low,-0.008999999999999897,Light User (0-5 jam)
100141,Medical,Senior,2.443,20.69,Ideation,Beginner,2.0,False,1.95,4.0,Allowed_With_Citation,7.0,2.674,79.7,High,0.23099999999999987,Heavy User (>15 jam)
